0,1,2
411,35.0,69.0
417,39.0,56.0
542,46.0,71.0
404,39.0,59.0
533,38.0,61.0
516,54.0,95.0
500,54.0,76.0
517,47.0,61.0
468,44.0,75.0
529,55.0,65.0
504,37.0,60.0
418,55.0,73.0
345,50.0,77.0
447,46.0,84.0
350,57.0,75.0
384,50.0,74.0
384,57.0,79.0
685,72.0,120.0
579,64.0,117.0
519,46.0,84.0
440,54.0,101.0
447,50.0,92.0
507,63.0,114.0
391,26.0,60.0
473,18.0,58.0
462,28.0,56.0
449,31.0,79.0
418,22.0,61.0
450,26.0,61.0
396,56.0,72.0
347,40.0,92.0
369,41.0,88.0
326,44.0,102.0
354,47.0,99.0
321,63.0,57.0
490,44.0,86.0
460,52.0,112.0
419,65.0,109.0
475,43.0,90.0
429,78.0,85.0
384,35.0,56.0
376,22.0,69.0
327,25.0,64.0
374,44.0,53.0
361,22.0,58.0
323,33.0,59.0
374,57.0,72.0
187,32.0,30.0
257,37.0,55.0
350,46.0,63.0
397,33.0,64.0
418,50.0,74.0
1521,120.0,164.0
1050,99.0,156.0
1017,104.0,143.0
1425,113.0,184.0
1313,108.0,168.0
616,34.0,78.0
318,37.0,66.0
330,32.0,87.0
329,28.0,66.0
325,50.0,78.0
330,38.0,63.0
